SuccubusNo,SuccubusName,HeartLevel/Ending,Choice,ChoiceNext,DlgS,DlgJ,args
,,,,,,"By any chance, is it someone you care about?",
,,,,,Indeed it is. If it weren't for you...,,
,,,,,,I am terribly sorry about that.,
,,,,,,"But losing a chance to settle things with someone, I know that feeling well.",
,,,,,Hmph. Maybe you're not a hopeless case after all.,,
,,,,,,Is there anything I could do to make amends?,
,,,,,"Well, not right now. Maybe later.",,
,,,,,I just need to gather more Carnal Essence to use as fuel for the trip back home.,,
,,,,,,Alright then...,
,,,,,"Now, shoo. It's my reading time.",,
,,II-1,,,,,
,,,,,You're back.,,
,,,,,,Hello.,
,,,,,,I want to ask you something about that succubus you admire.,
,,,,,You want to learn about the Nimue?,,
,,,,,,Nimue?,
,,,,,Yes. The succubus I admire is a Nimue.,,
,,,,,"Hmm. You're a moron, but you don't seem to be a bad person. I guess I can tell you more.",,
,,,,,,So that's their name...,
,,,,,,"But then, what made the Nimue earn your devotion?",
,,,,,The Nimue are like no one else!,,
,,,,,"They have everything we lack! The will, the good qualities...",,
,,,2-1-A,II-4,Their good qualities?,,
,,,,,,What kind of qualities do you mean?,
,,,,,"Well, as you can see from me...",,
,,,,,The Achlys are quite the brooders.,,
,,,,,The Nimue's dazzling personalities would blind everyone who didn't know them.,,
,,,,,"Those dreamy, charming smiles of theirs helped us during the toughest of times.",,
,,,,,They even help their fellow succubi. There's no one like them...,,
,,,,,,(She's rather passionate about the Nimue.),
,,,,,,So...,
,,,,,"If anyone ought to rule the Demon Realm, it's them!",,
,,,,,,(She's totally devoted.),
,,,2-1-B,II-3,Your life with them.,,
,,,,,,"So, how was your life with them?",
,,,,,The epitome of balance.,,
,,,,,It gave me peace of mind that nobody else ever gave.,,
,,,,,"Unfortunately, other succubi had to exist and ruin it all.",,
,,,,,,So someone else got involved?,
,,,,,Someone else took the Nimue's attention.,,
,,,,,Things started going bad ever since they came into the picture.,,
,,,,,Then the rebellion happened and the Nimue strayed even further from our kind.,,
,,,,,And...,,
,,,,,,(Maybe I shouldn't have brought that up.),
,,II-2,,,,,
,,,,,,"You really hate the Demon King, don't you?",
,,,,,"It's written all over my face, isn't it?",,
,,,,,There is no merit in serving him. Not even in just living under him.,,
,,,,,,How so?,
,,,,,Life has been worse ever since he took the throne.,,
,,,,,Not to mention that the Nimue fought to free us.,,
,,,,,,"Um, I can't see how that was bad for you.",
,,,,,"Because of that, we Spent even less time with the Nimue! They had a rebellion to carry out!",,
,,,2-2-A,II-3,You worked with them?,,
,,,,,,"So, you assisted the Nimue during the rebellion?",
,,,,,I would never refuse anything they asked of me.,,
,,,,,"Rather, I believe that only our kind are able to fulfill their expectations.",,
,,,,,So I volunteered.,,
,,,,,,"Then, the Nimue were the leaders of the rebellion?",
,,,,,Not so. I wish they were. We might have won that way.,,
,,,,,"I could care less about the actual leader, but the Nimue's valor was something to behold.",,
,,,,,,So they were the main force the rebellion...,
,,,,,And we lost.,,
,,,,,,Oh... I see.,
,,,2-2-B,III-3,You can't live without them.,,
,,,,,,"You can't live without them, can you?",
,,,,,"We cannot. The lives of the Achlys are the Nimue's, and theirs alone.",,
,,,,,,"So, your devotion...",
,,,,,It is more real than anything I have ever believed in my pitiful life.,,
,,,,,"You are correct, human. I cannot live without them.",,
,,,,,,I see...,
,,,,,Which is why your summoning made me so angry. That could have been my last chance to talk to them...,,
,,,,,,"Um, sorry.",
,,,,,Apology accepted. Now let's get back to Work.,,
,,,,,,Sure.,
,,II-3,,,,,
,,,,,,Am I interrupting?,
,,,,,I am in the middle of tying my hair. It's trivial.,,
,,,,,,(She's tying her hair differently than usual.),
,,,,,,(I've never seen her style her hair before. This is refreshing.),
,,,,,What is it? You have a funny look on your face.,,
,,,,,,"Oh! No, I was just thinking to myself. Sorry.",
,,,,,No matter. You can wait right there until I am done.,,
,,,,,,Th- thank you.,
,,,,,,"(It feels like I am at her mercy, even though she said it's fine.)",
,,,,,Why do they look at Yrellea more than us?,,
,,,2-3-A,II-5,Yrellea?,,
,,,,,,(She's still looking for the best way to tie her hair.),
,,,,,,"Um, who is Yrellea?",
,,,,,The instigator of the rebellion.,,
,,,,,The one who actually lead the resistance.,,
,,,,,The one who took the Nimue's attention from me.,,
,,,,,,"So, is this Yrellea's hairstyle that you're trying to put on?",
,,,,,,(I do NOT like that death glare!),
,,,,,,I was just kidding! Sorry!,
,,,,,Make that joke again and you won't live to See morning.,,
,,,,,,I- I won’t!,
,,,2-3-B,III-1,Is this about the Nimue?,,
,,,,,,"So, is this to impress the Nimue kind?",
,,,,,"Ah, wouldn't that be nice?",,
,,,,,If only I didn't have to meet you.,,
,,,,,,(She's nursing that grudge.),
,,,,,"Then again, it's too late for me.",,
,,,,,,Why would you say that?,
,,,,,"The last time I spoke to a Nimue, they were completely focused on the rebellion.",,
,,,,,,On continuing it?,
,,,,,Yes. And especially on finding Yrellea. It was an uphill battle to make her look at me.,,
,,,,,,(It's almost funny how the actual rebellion means almost nothing to her.),
,,II-4,,,,,
,,,,,How dare he!,,
,,,,,,What happened?,
,,,,,The gall of him to talk that way even if he was the one who wanted it!,,
,,,,,,I'm... still lost.,
,,,,,There was a patron who wanted to do it with my true form.,,
,,,,,And then he couldn't stop complaining about my wing!,,
,,,,,,So...,
,,,,,Do I really have to explain to you why I would hate every second of that?,,
,,,2-4-A,III-2,Want to take a break?,,
,,,,,,"If you want to, I can reassign you somewhere else today.",
,,,,,No. It's all right.,,
,,,,,,(Her face says otherwise.),
,,,,,"I mean, it's just another day at work, right?",,
,,,,,I could just give him a a taste of this wing he dislikes so much.,,
,,,,,,Um...,
,,,,,*sigh* Maybe I was in the wrong to just do what he wanted.,,
,,,,,I have to be better about talking to clients.,,
,,,,,I’ll just refuse his wishes next time!,,
,,,,,,"Well, as long as you know what to do, I guess.",
,,,2-4-B,II-5,Don't listen to him.,,
,,,,,,Couldn't you just ignore him and move on?,
,,,,,"Well, it's already happened. What are you talking about?",,
,,,,,,"Um, don't take it to heart then? I- I mean don't let it get to you.",
,,,,,,Everyone has something about them that's beautiful.,
,,,,,"Well, except me, I guess.",,
,,,,,There is nothing about me that could be called beautiful.,,
,,,,,,I- I don’t think that's true...,
,,,,,It is. Why else would they look at Yrellea instead of me?,,
,,,,,,It's...,
,,,,,Leave me alone. I need time to breathe.,,
,,II-5,,,,,
,,,,,What are you holding there?,,
,,,,,,"Oh, this?",
,,,,,,It's a deer skull to decorate the other room we have.,
,,,,,I've never seen a deer preserved after death like this.,,
,,,,,I can see that it does indeed have a good pair of horns.,,
,,,,,,They're called antlers. Do you want to have them? It's fine by me.,
,,,,,"No need, I am more comfortable with mine.",,
,,,,,,(Now that she mentions it...),
,,,,,,(Those bony masks look peculiar...),
,,,2-5-A,III-3,Where did you get that mask?,,
,,,,,,I've been curious about this for a while...,
,,,,,Yes?,,
,,,,,,Where did that mask come from?,
,,,,,,It doesn't look like an ordinary bone mask.,
,,,,,"Hah! Finally, you show some taste.",,
,,,,,,"So, it's not from this realm.",
,,,,,Obviously. I could only salvage a mask like this from a demon's carcass.,,
,,,,,,That's... unexpectedly brutal.,
,,,,,"I did warn you about us Achlys, haven't I?",,
,,,,,,I just never assumed you were capable of doing this.,
,,,2-5-B,III-1,Do you like horns?,,
,,,,,,"So, it's because you like horns?",
,,,,,Yes. I adore them!,,
,,,,,,Does it have to do with the Nimue?,
,,,,,Nope! I've always loved horns.,,
,,,,,"This mask felt perfect for me, so I kept it.",,
,,,,,Maybe because I don't have horns of my own?,,
,,,,,"Whatever it is, it fascinates me.",,
,,,,,,I didn't realize not all of you succubi had horns.,
,,,,,Were all quite different physiologically!,,
,,,,,,I see.,
,,III-1,,,,,
,,,,,Jake.,,
,,,,,,Yes?,
,,,,,You seemed to be good at managing us.,,
,,,,,It's like you're no stranger to this.,,
,,,,,,I WAS a manager for a singer before this.,
,,,,,"You sound like Yrellea, actually...",,
,,,,,Being so good at handling people... Being so decisive...,,
,,,3-1-A,EB,Maybe that's why the Nimue followed Yrellea.,,
,,,,,,"I see, then.",
,,,,,,Perhaps that's why the Nimue followed her.,
,,,,,Now that you put it that way...,,
,,,,,I guess I can see how it is.,,
,,,,,...,,
,,,,,"There goes me ever accepting myself for who I am, I guess.",,
,,,,,I never even stood a chance.,,
,,,,,,Don’t feel so bad... We can look up Yrellea later.,
,,,,,"You really don’t understand, do you?",,
,,,3-1-B,III-2,You have your own strong points as well.,,
,,,,,,While you probably think Yrellea is the pinnacle of the succubi...,
,,,,,,I believe you are your own great self.,
,,,,,Yrellea's indeed strong and irresistible. No wonder even the Nimue follow her.,,
,,,,,,Don’t think so little of yourself!,
,,,,,,Your diligence and devotion are wonderful traits to have.,
,,,,,...,,
,,,,,"Thank you, Jake. That feels... nice.",,
,,III-2,,,,,
,,,,,,Hey.,
,,,,,,I've been hearing nothing but good news from our patrons.,
,,,,,What kind?,,
,,,,,,Madam M and Mistress X sung their praises about you for the attention you paid their lessons.,
,,,,,"... Oh, they did?",,
,,,3-2-A,EA,Be proud of yourself!,,
,,,,,,You should be proud of yourself.,
,,,,,,It's fine to reward yourself for everything you've gone through.,
,,,,,Even hardships?,,
,,,,,,Especially hardships.,
,,,,,,You've been living apart from the Nimue for some time now.,
,,,,,,Be proud.,
,,,,,...,,
,,,,,"Thank you, Jake.",,
,,,3-2-B,III-4,There are things you don’t realize.,,
,,,,,,You see.,
,,,,,,There are things you don’t realize on your own.,
,,,,,What are you talking about? I know myself!,,
,,,,,I've been getting by doing what you've told me to. I'm nothing special.,,
,,,,,,But that's the thing. You managed to do everything I asked you to.,
,,,,,It was not perfect.,,
,,,,,,But it was better than everyone else.,
,,,,,,"Maybe, just maybe, people actually look at you different than how you imagined.",
,,,,,,"Because from what I see, you are getting better at just about everything.",
,,III-3,,,,,
,,,,,"Jake, I'm going to do it. I'm going to be the best succubus I can be.",,
,,,,,,"That's great! But uh, why the sudden motivation?",
,,,,,I need the Nimue to recognize me. I need them...,,
,,,,,,Oh.,
,,,,,"And what's more, I've learned a lot from Madam M.",,
,,,,,,Learned about what?,
,,,,,Whatever I need to look good in the eyes of the Nimue.,,
,,,3-3-A,III-4,Wrong motivation.,,
,,,,,,I... think you have a slightly skewed motivation to be better.,
,,,,,How so?,,
,,,,,,You can’t live your life searching for others' approval.,
,,,,,,What would you do for yourself?,
,,,,,But... but I need them to look at me...,,
,,,,,,How? Do you think the Nimue would be so amazing if they could be impressed by an act?,
,,,,,By...,,
,,,,,Um...,,
,,,,,,"You still have to be you, don’t you?",
,,,,,... This is true.,,
,,,,,,Then you can see my point.,
,,,,,,(I hope she thinks more about this.),
,,,3-3-B,EA,Good for you!,,
,,,,,,Nice to see you look motivated.,
,,,,,But of course. Anything for the Nimue.,,
,,,,,,Hey.,
,,,,,What is it?,,
,,,,,,You can call me if there is anything you need.,
,,,,,,I'll be sure to support you as much as I possibly can.,
,,,,,... Yeah. Thanks.,,
,,III-4,,,,,
,,,,,That lady...,,
,,,,,,You mean Luna?,
,,,,,I've seen her portraits all over this house.,,
,,,,,And I've been meaning to ask you this.,,
,,,,,,Yes?,
,,,,,What is she to you? Do you love her?,,
,,,,,,"She was my wife, and I loved her. I still do.",
,,,,,Was she a perfect lady worthy of your love?,,
,,,3-4-A,EB,The utmost perfect lady.,,
,,,,,,She was perfect to me.,
,,,,,How did she do that?,,
,,,,,,"Well... humans can never be truly perfect, but you can be perfect in someone's eyes.",
,,,,,,"She loved me for all I was, and I loved her back even more. She's the whole reason I'm doing this.",
,,,,,,"I... I cannot live without her. I am a broken clock, an empty shell. I don’t know what to do with myself.",
,,,,,"So, you and I are alike, huh?",,
,,,3-4-B,EA,I loved her for who she was.,,
,,,,,,To be human is to have all these imperfections.,
,,,,,,Even for someone I adored as much as her.,
,,,,,,"She had her own flaws, but one of her strengths was enduring them with such tenacity.",
,,,,,,She motivated me with how she would overcome her own weaknesses. it was her own kind of magic.,
,,,,,...,,
,,,,,,"Sometimes, the most beautiful things are imperfect.",
,,,,,You sure loved her.,,
,,,,,,It is the only thing I truly know to be real.,
,,,,,Hehehe. Hahahaha. You and I both.,,
,,EA,,,There is no such thing as perfection. That is what Jake always said to Achlys.,,
,,,,,"As Jake's words seep into her, she starts to feel more comfortable with herself.",,
,,,,,"No more hiding under her mask, she's already a perfect woman to Jake.",,
,,EB,,,Jake always assures Achlys that there is nothing wrong with her.,,
,,,,,"To prove his words, he turned Achlys into a human. However, it did nothing to help her.",,
,,,,,She has become more self-conscious than ever now that she's become a human.,,
,,,,,She feels that she's even more worthless without her power as a succubus.,,
11,Cozbi,I-1,,,Cozbi,,
,,,,,Keh heh heh. What a nice house you have here.,,
,,,,,And it's still empty... perfect.,,
,,,,,,Huh? I'm not even sure if I can add more furniture...,
,,,,,"Meh, not that dull stuff.",,
,,,,,Your house lacks shine!,,
,,,,,,But I cleaned it-,
,,,,,Nooo... rrrggh... it lacks sparkly stuff!,,
,,,,,,Sparkly... You mean like gold-coated items or something?,
,,,,,That's the stuff!,,
,,,1-1-A,I-2,You like luxurious goods?,,
,,,,,,"Could it be... perhaps, you like luxurious goods?",
,,,,,Like? Heh heh!,,
,,,,,We're OBSESSED.,,
,,,,,Take a good look at what I'm wearing.,,
,,,,,"You must be jealous that you don’t have anything like these babies, right?",,
,,,,,,"Uhmm, they are neat, I guess?",
,,,,,What's with that reaction? So boring!,,
,,,1-1-B,II-2,I don’t think it's necessary.,,
,,,,,,I don’t think it's necessary for me to add that kind of stuff to my house...,
,,,,,,"Moreover, something doesn’t have to be sparkly to have value, right?",
,,,,,Booorrrrring!,,
,,,,,"In that case, I'll just use this house to store my stash.",,
,,,,,,You want to do what now?,
,,,,,Are you deaf? I need a place to keep my new collection before I go back.,,
,,,,,,W- wait a minute-,
,,,,,I don’t take no for an answer!,,
,,I-2,,,,,
,,,,,"Hey, hey, look, ain’t these neat?",,
,,,,,,Huh? Are those accessories new?,
,,,,,Yup!,,
,,,,,,Where did you get those from?,
,,,,,"From the humans, of course.",,
,,,,,,"Wait, did you... steal them?",
,,,,,"Pssch, it's give and take, y'know?",,
,,,,,"I give them pleasure, they give me their stuff.",,
,,,1-2-A,II-1,About your kind.,,
,,,,,,Are all of your kind like that?,
,,,,,More or less.,,
,,,,,We find beauty in sparkly stuff.,,
,,,,,,That's good... but please don’t steal.,
,,,,,It's their fault for being so careless.,,
,,,,,"If something is important to them, then they should take better care of it.",,
,,,,,,B- but...,
,,,,,"Hush, now.",,
,,,1-2-B,II-3,Why is it so important?,,
,,,,,,Why are you so obsessed with shiny objects?,
,,,,,,"I mean, does it really matter?",
,,,,,,What do you get from collecting them?,
,,,,,My head hurts. You ask too many questions.,,
,,,,,"Feel it with your heart, fool.",,
,,,,,"The more you have, the more fulfilled you are.",,
,,,,,,(Talk about being greedy...),
,,I-3,,,,,
,,,,,"Oy, what are you up to? Barging into my room like that.",,
,,,,,,"Ah, sorry, I'm looking for my stuff...",
,,,,,What stuff?,,
,,,,,,My house decorations...,
,,,,,... Why are you looking at me like that?,,
,,,,,,"N- no, it's just... my stuff keeps disappearing.",
,,,1-3-A,II-4,Did you take it?,,
,,,,,,Umm... did you take it?,
,,,,,"Hmm, did I snatch it in front of your eyes?",,
,,,,,,N- no...,
,,,,,,But... What are those on top of your dresser?,
,,,,,Just some stuff that's lying around.,,
,,,,,,Th- Those are mine.,
,,,,,"Nope, mine now.",,
,,,,,"They just lie around in every corner of the house, so I took them.",,
,,,,,"If you don’t want your stuff to get taken away, then take better care of it!",,
,,,,,,But... that's not how...,
,,,1-3-B,I-2,Have you seen it?,,
,,,,,,Have you seen my decorations?,
,,,,,Like hell I know.,,
,,,,,,...,
,,,,,Can you stop snooping around my room?,,
,,,,,,I... I just want to check.,
,,,,,"If you don’t want your stuff to get taken, then keep it somewhere safe!",,
,,,,,,B- but it's in my house.,
,,,,,What a fool.,,
,,II-1,,,,,
,,,,,,Cozbi?,
,,,,,,Don’t you think that this room is getting kinda cramped?,
,,,,,"Eh, I think it's all right. There's still so much room.",,
,,,,,,Seriously?,
,,,,,,I can barely open the door...,
,,,,,Uggh... Quit nagging.,,
,,,,,This is nothing compared to my place.,,
,,,2-1-A,II-2,What's your place like?,,
,,,,,,It makes me wonder what your place is like.,
,,,,,"Quite spacious, I must say.",,
,,,,,"But of course, no corner is without my beautiful collections.",,
,,,,,,Is it like... a cave or something?,
,,,,,The shiniest cave!,,
,,,,,,I can imagine it...,
,,,2-1-B,II-3,Clean up?,,
,,,,,,Don’t you want to try cleaning up?,
,,,,,Cleaning up?,,
,,,,,,Like... sorting your stuff...,
,,,,,,Keeping the ones that you use and getting rid of the others.,
,,,,,... Are you kidding me?,,
,,,,,Each and every one of my sparkly babies are precious!,,
,,,,,And you want ME to get rid of it?!,,
,,,,,,It... it's for your own good.,
,,,,,Nothing good will come of it!,,
,,II-2,,,,,
,,,,,,I still don’t understand...,
,,,,,,What makes you so obsessed with sparkly stuff?,
,,,,,"Like I said, their beauty is incomparable.",,
,,,,,"Besides, I feel fulfilled if I get to have it all.",,
,,,,,And it's kinda interesting Seeing others fight over my possessions.,,
,,,,,"But of course, I won’t let them take it!",,
,,,,,,The others... Do you mean the other kinds of succubi?,
,,,,,Our rivalry does not concern them.,,
,,,,,,It's just among your kind then?,
,,,,,It's a race to collect the most luxurious stuff!,,
,,,2-2-A,III-3,Symbol of wealth?,,
,,,,,,Does it mean that the collections are like...,
,,,,,,Some kind of symbol of wealth?,
,,,,,"Hmmm, yes, you could say that.",,
,,,,,Anything else you want to ask?,,
,,,,,,"Ah, did I ask too many questions?",
,,,,,,Sorry if I'm being rude-,
,,,,,"Heh, you worry too much about trivial things.",,
,,,,,I could brag about my collections all day!,,
,,,2-2-B,II-3,Do you have to follow it?,,
,,,,,,"But... Do you have to follow it, though?",
,,,,,Huh?,,
,,,,,,What I'm trying to say is...,
,,,,,,Can you choose not to follow that tradition?,
,,,,,"... Ugh, what the hell?",,
,,,,,I'm just doing what I like. Why are you so bothered by that?,,
,,,,,,"O- oh, I didn’t mean to pry.",
,,,,,,I'll... I'll stop now.,
,,II-3,,,,,
,,,,,"Y'know, for someone who always nags me about having too much Stuff...",,
,,,,,Have you taken a look at your own room?,,
,,,,,,It's still much more spacious than this room...,
,,,,,"But there is stuff you don’t use, right?",,
,,,,,"For example, the jewelry...",,
,,,,,Just give it to me. I'll take good care of your things.,,
,,,,,,I- I can’t give them to you.,
,,,2-3-A,III-1,Special place in heart.,,
,,,,,,Those jewels are my wife's...,
,,,,,,They hold a special place in my heart.,
,,,,,So sappy...,,
,,,,,"Even the clothes? Those are really dull, though.",,
,,,,,,I... don’t have the heart to throw them away.,
,,,,,You're weird.,,
,,,2-3-B,III-3,Belongs to my wife.,,
,,,,,,Because it belongs to my wife.,
,,,,,I see... I understand.,,
,,,,,She does have good taste in jewelry.,,
,,,,,,Eh? That's not-,
,,,,,"See, you're actually not that different from me.",,
,,,,,You can’t let them go because their beauty captivates you!,,
,,,,,,Y- you've got it wrong...,
,,II-4,,,,,
,,,,,"Hey, can’t you just send me home now?",,
,,,,,,"Ah, are you feeling tired?",
,,,,,,"I'm... I'm not sure how, but maybe Phillip knows how to-",
,,,,,"Whoa, whoa, whoa.",,
,,,,,You don’t know how to send me home?,,
,,,,,How am I gonna make sure that my collections are safe?,,
,,,,,,"B- but they're in your home, right?",
,,,,,"Yeah, duh, you think the others will just sit quietly seeing an unguarded cave?",,
,,,2-4-A,II-5,Cautious even with your Kind?,,
,,,,,,Are you this cautious even with your own kind?,
,,,,,Well...,,
,,,,,"I've told you before, if we're careless, even just a little bit...",,
,,,,,What's ours can become someone else's in a few seconds.,,
,,,,,That's why I have to go to the extra mile.,,
,,,,,,Sounds tiring...,
,,,,,Not really.,,
,,,2-4-B,II-3,Don’t you get tired?,,
,,,,,,"Don’t you get tired, living anxiously like that?",
,,,,,Huh? Anxious? Nope.,,
,,,,,"If something gets stolen, then I'll just collect more stuff.",,
,,,,,Easy.,,
,,,,,"Though, it would actually be tiring if I have to start from nothing again.",,
,,,,,,So... It's about quantity?,
,,,,,What's important is to have LOTS of sparkles!,,
,,II-5,,,,,
,,,,,56... 57... 58...,,
,,,,,,What are you doing?,
,,,,,Just counting my stuff.,,
,,,,,"... Wait, where was I?",,
,,,,,,"Hey, I'm curious... when did all this get started?",
,,,,,,"I mean, this competition thing with your kind.",
,,,,,How should I know?,,
,,,,,"Living in a slum, all we know is collecting things.",,
,,,,,,Slum?,
,,,,,Others might get to live next to the throne...,,
,,,,,But we live deep in caves.,,
,,,,,"It's boring, y'know, just tryna survive in a gloomy place like that.",,
,,,,,That's why we fill it with shiny goods!,,
,,,2-5-A,III-3,I can sympathize.,,
,,,,,,Oh... so that's why.,
,,,,,"Pfft, what would you know?",,
,,,,,,"Well, I can only imagine.",
,,,,,,"But, that's right, you're the one who really know how it feels.",
,,,,,... What's with this mushy atmosphere?,,
,,,,,,"Oh, s- sorry.",
,,,,,"Ugh... Leave me alone with my babies, would you?",,
,,,,,,Okay...,
,,,2-5-B,III-1,Makes your life worse.,,
,,,,,,But... wouldn’t stuffing it just make it worse?,
,,,,,Whaddya mean?,,
,,,,,,It keeps piling up! at this rate you could get crushed by your own collection!,
,,,,,,So maybe... you can try to organize first?,
,,,,,,Starting with this room...,
,,,,,,"That way, your home can be a better place to live in.",
,,,,,...,,
,,,,,,A- are you listening?,
,,,,,Nope. I got bored.,,
,,,,,,...,
,,III-1,,,,,
,,,,,I think this should go here...,,
,,,,,,Hmm? You've started tidying up?,
,,,,,That's not it.,,
,,,,,I just don’t want them to scratch each other.,,
,,,,,,"Then, while you're at it, why don’t you try decluttering?",
,,,,,Decluttering?,,
,,,,,,"Yes, that way you can have more space in your room.",
,,,,,"Whoa, who said that I want to throw them away?",,
,,,3-1-A,III-2,I can help you tidy up.,,
,,,,,,"I got too excited, sorry.",
,,,,,I don’t get how it could make you excited.,,
,,,,,,But if you need some help to tidy up...,
,,,,,,... I can always lend a hand.,
,,,,,Don’t bother...,,
,,,3-1-B,EB,You can keep them.,,
,,,,,,"O- oh, never mind, then...",
,,,,,,As long as you don’t bury the house.,
,,,,,I can’t guarantee that.,,
,,,,,Have you checked in your room?,,
,,,,,,W- what did you do to my room??,
,,,,,"Keh heh. Don’t be so surprised, my Jake.",,
,,,,,"After all, what's yours is mine.",,
,,III-2,,,,,
,,,,,"I know it's your house, but...",,
,,,,,Don’t you think you've been doing this too much?,,
,,,,,,What do you mean?,
,,,,,"Going into my room, what else?",,
,,,,,You worried that I might blow up your house?,,
,,,,,,Kind of...,
,,,,,,How about this:,
,,,3-2-A,EA,I will let go of Luna's possessions.,,
,,,,,,If you at least try to sort your stuff up...,
,,,,,,... I'll even let go of my wife's possessions.,
,,,,,You're using me as your excuse to tidy up?,,
,,,,,,T- that's not it.,
,,,,,,I'm concerned about the way you live.,
,,,,,"Tch, what a worrywart...",,
,,,3-2-B,EB,See how you can keep up.,,
,,,,,,You can continue collecting stuff...,
,,,,,,... and let's see how you can keep up Storing all that.,
,,,,,"Oh, you finally accepted the way I live?",,
,,,,,Or is that a challenge?,,
,,,,,Cause I'll gladly accept it.,,
,,,,,,T- that's not-,
,,III-3,,,,,
,,,,,Got any stuff for me?,,
,,,,,,Eh?,
,,,,,Maybe I should make a rule.,,
,,,,,Every time you enter my room...,,
,,,,,you need to give me at least one offering.,,
,,,,,,W- why?,
,,,,,Why not?,,
,,,3-3-A,III-4,I don’t want to.,,
,,,,,,I- I don’t want to enable your behavior.,
,,,,,I don’t see anything wrong with my behavior.,,
,,,,,It brings no harm!,,
,,,,,Except...,,
,,,,,Your nagging gives me headaches.,,
,,,3-3-B,EA,"Not gold, but...",,
,,,,,,"If it makes you happy, I guess I can give you this.",
,,,,,What's this?,,
,,,,,,Yellow topaz. I got it from the market.,
,,,,,,The color reminds me of your eyes.,
,,,,,"Hub, it doesn’t shine like gold, but it's... pretty.",,
,,,,,"This isn’t a bad choice of gift, I'll give you that.",,
,,,,,,"Sometimes, something simple can be more meaningful.",
,,,,,"Pfft, there you are, being all sappy again.",,
,,III-4,,,,,
,,,,,,Have you ever heard a story...,
,,,,,,"... about someone so greedy, his treasure ended up crushing him?",
,,,,,Your point is?,,
,,,,,,"If you keep piling your stuff up, you could end up like him.",
,,,,,"Meh, it doesn’t apply to me.",,
,,,,,I've lived like this all my life.,,
,,,,,And I'm perfectly fine. See?,,
,,,,,,"I don’t think you can store any more stuff in this room, though.",
,,,,,"Well, you've got a point...",,
,,,,,Why don’t you help me with that?,,
,,,3-4-A,III-2,I’ll help you organize.,,
,,,,,,You want my help?,
,,,,,,"Let's get started, then.",
,,,,,"Wait, wait, what are you doing?",,
,,,,,,I'm... helping you sort your stuff out?,
,,,,,,"Here, are you still using this one? If not, we can throw it away.",
,,,,,D- don’t touch it!,,
,,,,,"Ugh, this is not what I meant.",,
,,,,,Just... Go away.,,
,,,3-4-B,EB,You can use another room.,,
,,,,,,Hmmm...,
,,,,,,There's actually an unused space...,
,,,,,Perfect! Why didn’t you tell me sooner?,,
,,,,,"Help me carry these there, but be careful!",,
,,,,,,"W- wait, listen to me first.",
,,,,,Ain’t nobody got time for that!,,
,,,,,,Sigh...,
,,EA,,,"Leaving behind her possessions in her realm, Cozbi slowly lets go of the ones she collected in the Human Realm as well.",,
,,,,,"She realizes that it has to be done, so she truly starts a new life as a human.",,
,,,,,Jake continues to support her by helping her tidy up.,,
,,,,,"After all, they will spend the rest of their lives together.",,
,,EB,,,Cozbi's obsession towards her collection can no longer be helped.,,
,,,,,"In the name of love, Jake lets her do what she wants.",,
,,,,,"The more he turns a blind eye to the problem, however, the more the house is flooded by Cozbi's greed.",,
,,,,,"Until one day, they are both crushed under the weight of the hoard.",,
12,Lyst,I-1,,,Lyst,,
,,,,,"Heehee, a male human...",,
,,,,,It's been an eternity since I last devoured one...,,
,,,,,"Since Master Asmodeus isn't here, I think you will do.",,
,,,,,,D- devour?,
,,,,,,Oh... Did you mean...,
,,,,,,You want my Carnal Essence?,
,,,,,"Dear, dear... I only want to bask in pleasure.",,
,,,,,"Being a man, you must long for it too, right?",,
,,,1-1-A,I-2,Don't generalize us.,,
,,,,,,Men are not savages... Please don't generalize us.,
,,,,,"Pfft, that's funny.",,
,,,,,"In my experience, men are all the same...",,
,,,,,All it takes is one touch to drive them wild. Like animals.,,
,,,,,,"P- please don't... I mean, I'm not here for that.",
,,,,,...,,
,,,,,Huuuh? Why noooot?,,
,,,,,You're one weird human. But I like you.,,
,,,1-1-B,II-3,That's not why I summoned you.,,
,,,,,,Urk... B- but that's not why I summoned you...,
,,,,,"Don't be shy, hun... I can see you're rather pent-up.",,
,,,,,Why don't you use me for some... release?,,
,,,,,,Rele-,
,,,,,,I... I can't do this right now...,
,,,,,"Mmm... Next time, then? But I'm already bored...",,
,,,,,,T- that's not what I mean!,
,,I-2,,,,,
,,,,,"Ah! Are you ready, now?",,
,,,,,,Ready for what-,
,,,,,,...,
,,,,,,"F- forget about that, I shouldn't ask...",
,,,,,"Heehee, you're so cute! I want to gobble you up.",,
,,,,,,But I'll die if you do that.,
,,,,,Die of pleasure? Who wouldn't want that?,,
,,,,,,You'll suck my Carnal Essence dry!,
,,,,,Ahh... Yes... If only men didn't die just when I start really having fun.,,
,,,,,But the sensation of their Carnal Essence seeping inside me...,,
,,,,,It's the best!,,
,,,1-2-A,II-1,Does it make you stronger?,,
,,,,,,Do you... feel stronger after that?,
,,,,,Mmhmm... I feel like I can do it again and again. Hehehe... And again...,,
,,,,,,O- okay...,
,,,,,,"That's the power of Carnal Essence for you, I guess...",
,,,,,,"Do you think it applies to humans, too?",
,,,,,Hmm? Where do you think your libido comes from?,,
,,,,,It's such a fantastic source of energy!,,
,,,1-2-B,II-3,Does it only apply to human men?,,
